,T_in_delay1,T_in_delay4,PowerCompr_delay1,T_in_delay3,PowerCompr,T_in_delay2,weaTDryBul_delay1,T_in_delay13,Intercept,weaHGloHor_delay1
Detached_0,1.550431450013116,-0.11471430074140493,0.12000961631879242,0.36806106271011846,0.07211408074497032,-0.8939524418386139,0.012543709581895993,0.030156843418113578,0.8651709838488183,2.1240229095766466e-05
Detached_1,1.4446392668421408,-0.06698160594702932,0.1526654049142105,0.2245638601721769,0.07210426950752222,-0.699273648182944,0.012579843420529395,0.030179575315573692,1.0108946422401646,0.0003135406934659129
Detached_2,1.5311074603501622,-0.097402299642561,0.12818839887442152,0.3252362227080634,0.06881492104904158,-0.8510319915972434,0.011997882715022126,0.029364425941376834,0.9280589806033693,0.00012262730419808642
Detached_3,1.4044816883778928,-0.06433711416190604,0.15193349877162385,0.209296101488193,0.07248709194313457,-0.6524327382782847,0.01355591225007011,0.031344833348968294,1.0941360508638769,0.00017662671558599328
Detached_4,1.424527585415891,-0.06415002396342862,0.14786177011398444,0.21662491833643996,0.07486180606794435,-0.677091499274706,0.01337226615921035,0.031119488421238923,1.0432853197310887,0.00015951507504391438
Detached_5,1.4346645091835888,-0.07233115480712339,0.14119628241043422,0.22688560541971967,0.07284555246199953,-0.6863325756420158,0.015247606366659993,0.0310506590951597,0.9492932917780239,9.593895732531077e-06
Detached_6,1.4163131569141352,-0.06688081322326042,0.15701291742111706,0.22043481294903466,0.07408089145149968,-0.6709093341277681,0.010108843617783348,0.03133390222967786,1.1276083684227325,0.0002924148996595806
Detached_7,1.5477286973316842,-0.10279358146522544,0.12803121655746105,0.34391906216948,0.06572103990529207,-0.8794113013585309,0.011638329161156731,0.02814633169233876,0.9337986060818457,4.655714153033526e-05
Detached_8,1.4147234283386798,-0.06596701859270505,0.15150630320388694,0.21276164607304748,0.07231721290289368,-0.6622123155727597,0.014424013823925169,0.03141197295130496,1.0384719192829357,-3.582468147859244e-05
Detached_9,1.4542149544411742,-0.09961667315339784,0.1482652797752813,0.29865379392895586,0.07865291962680973,-0.7558316797222956,0.013430345379442162,0.03253653447265529,1.0575220594528498,-0.00014502244899308056
SemiDetached_0,1.5019692414979573,-0.10353320331258575,0.1881490369880645,0.3226085505537631,0.09579275396258152,-0.817205175385102,0.01136314707112436,0.03202940709948677,0.9918254459776366,4.2194513941889056e-05
SemiDetached_1,1.406496323477914,-0.07511500447031216,0.20170066581399299,0.24009289617224777,0.10295960428222749,-0.6777334368419251,0.010409202987121158,0.034386785223512364,1.1623670485852091,0.00030294412384139274
SemiDetached_10,1.5670450236964473,-0.10260481283858992,0.15559730655066883,0.3492743698584231,0.07568988021446071,-0.902051992135244,0.010690115716922258,0.031210664751937834,0.8712304972263976,2.0096147973826923e-05
SemiDetached_11,1.4952615881137175,-0.08300241100743,0.1769282123211647,0.2719495397231862,0.07947518600881523,-0.7779391043850548,0.012022609926701663,0.0313209511924841,0.9533070772725869,-7.226292128819231e-06
SemiDetached_2,1.4935820766580723,-0.09135690643059644,0.17499094808100416,0.28958372511530167,0.08862969582393322,-0.7864081591695836,0.012290230401615648,0.03266505773931306,0.9335343564603359,1.213244629661445e-05
SemiDetached_3,1.4588823001025897,-0.07014791965273495,0.18287639703176903,0.23560037458880778,0.0839172336567346,-0.7206040871135868,0.012441513461059628,0.03195544912960012,0.9870471676081611,2.239172775346328e-05
SemiDetached_4,1.4923116032571015,-0.07589429620280724,0.1761778368732258,0.25909131177456746,0.07913965488606092,-0.7671647782359661,0.011758071770974335,0.03177341981949249,0.9098206039344666,0.0001534804550284665
SemiDetached_5,1.5324261344075025,-0.099053752451815,0.1590353292677581,0.3177697798708883,0.07912247822776505,-0.8415768103040655,0.011727480407827808,0.03227728493413089,0.8717298720590038,1.2095414148493178e-05
SemiDetached_6,1.5149095447510466,-0.08738239073396824,0.17329829744997405,0.299136464604532,0.08879434232791111,-0.8197138013712125,0.010461378846857567,0.03165080086032289,0.9553686079132038,0.0002485474129883393
SemiDetached_7,1.4721024333742425,-0.08811447928266408,0.19338180167516217,0.27476257073871085,0.09181615228118384,-0.7560595605451391,0.010639279971906931,0.03302022193173418,1.0173855505318836,0.0003319528360649659
SemiDetached_8,1.5260416776880232,-0.10025888756715523,0.1712508792918494,0.33017817310423014,0.09003739854509615,-0.8484446599634539,0.01081955868064748,0.031690046901733784,0.9305181035458318,0.00020818522026140083
SemiDetached_9,1.5616366752217932,-0.10736493666443225,0.15622817202787986,0.35971368660659797,0.0820107606957789,-0.9032225078821323,0.010991297111259447,0.031131550055835188,0.88224274762228,2.3689858120196398e-05
Terrace_0,1.365115594677095,-0.017356734597132217,0.22663958058942318,0.11096907196668725,0.052391242443138086,-0.5283323295698475,0.0069629540619575835,0.04254893844184079,0.3818627829798916,0.0002791764439219259
Terrace_1,1.342254193183055,-0.02590306044252899,0.2569827346986845,0.1300615233333061,0.07139762038569628,-0.5303669689581452,0.008409206439739267,0.04141206371198996,0.6603710479913565,0.00029824755652915226
