,T_in_delay1,T_in_delay4,PowerCompr_delay1,T_in_delay3,PowerCompr,T_in_delay2,weaTDryBul_delay1,T_in_delay13,Intercept,weaHGloHor_delay1
SemiDetached_11,1.5470937050484992,-0.0574505825969716,0.16504831110881868,0.17879529063530689,0.04302349591352372,-0.6816534950456561,0.0014563930465714768,-0.005243865285557215,0.2905994672233003,0.00018794099002869774
SemiDetached_2,1.5035309018657306,-0.05214322354432789,0.16681141688307535,0.1378724443315649,0.04306921091293803,-0.5976498675709,-0.0001930606614204168,-0.006700723761380856,0.23889436861398272,0.00020522880175593723
SemiDetached_3,1.5232843939407543,-0.058543649227543515,0.1738415134611589,0.1940261242008075,0.05165761186121352,-0.6784493232138786,0.0033987960750928616,-0.002549936553278142,0.34213813685851774,0.0001979278287366408
SemiDetached_4,1.5619584523045968,-0.0849383809213483,0.1692754981689698,0.26034329178628896,0.050910721337464326,-0.7677275289124256,0.0022659759771718174,0.013388413793483621,0.249748694850374,0.0002843020270104382
SemiDetached_5,1.4896250521989152,-0.04859205634163673,0.16370418503072182,0.13090868244128728,0.04129287431835199,-0.580961620157801,-0.0008064654591224493,-0.005622773854691954,0.23170019583380758,0.00019596569730835565
SemiDetached_6,1.5565337604957052,-0.0667007280916771,0.1416413542593546,0.16052621331458836,0.031152911844333307,-0.6587723126117367,-0.0006782499304114907,-4.2124017074720075e-06,0.13875002586865542,0.0002199762521744656
SemiDetached_7,1.5544995987158654,-0.07360967397902185,0.14023780265172597,0.16699791349350757,0.029958698119510463,-0.6554208221714257,-0.0002930104463031765,-0.0002575429411387371,0.1321676176691464,0.00022936685603519032
SemiDetached_8,1.4987116578404116,-0.05945074583691673,0.15406630091512297,0.12156010883188273,0.037015854332641054,-0.5690843407715285,-0.001710334528133671,-0.0008936231898918345,0.14903526206348244,0.00022748657632275807
SemiDetached_9,1.5077507768613452,-0.049717445487846526,0.15702874651794846,0.13037231768385732,0.03793341535248318,-0.5962581404255582,-0.0017158382979301841,-0.004270376024596641,0.19186513042788006,0.00019271861468875024
Terrace_0,1.4796223804097932,-0.07017174139885801,0.1648743799541893,0.21811057951803614,0.04737877544710367,-0.6646756791459544,0.008320427011185844,0.0036720112325896647,0.564653209501913,0.00010883727644824112
Terrace_1,1.50766003919345,-0.07307053297706825,0.1366800044646357,0.20973752269712845,0.030749327811312954,-0.6699700961824134,0.002199732425329191,0.014292457954175065,0.19889678415573342,0.00020974348928206717
Terrace_2,1.4727384966216253,-0.04577654339068507,0.13411409649793893,0.09610111063111404,0.020033568251903524,-0.5252237829491353,-0.0011341068453421645,-0.007812875724265755,0.18364481122574988,0.00012997610510106
Terrace_3,1.4592505148386314,-0.08077193602306143,0.16864071307759435,0.22422897034585837,0.04925812575287203,-0.6447240279620999,0.008956539987670905,0.013666220503314178,0.4887970991422226,0.0001716661380264663
Terrace_4,1.4827380508495789,-0.07797943018970485,0.16106336561946172,0.2332700228168896,0.044082802806479644,-0.6790872547841939,0.0068564912665189815,0.01641168669041884,0.4260043821477117,0.00019242621594779482
Terrace_5,1.4653904127139623,-0.041924637977906874,0.1438832117675728,0.10205452200212142,0.025424941298369544,-0.5314015551827515,7.244761488527576e-05,-0.008376940680330533,0.26027350428302626,0.00013326130216503716
Terrace_6,1.4922962035716898,-0.041547796252002195,0.15546939245526453,0.13210924121084044,0.030819181030284817,-0.5945982763935779,0.002663367713762398,-0.009026280080873328,0.3743210820547411,0.00012839322421796554
Terrace_7,1.5194302204200643,-0.07093624917786567,0.11218903268783331,0.12137592528231075,0.01287730825156402,-0.571604656753236,-0.00307020034619481,6.298076289674989e-05,0.030446614787743104,0.00017118614236490837
