,PI_jan,PI_mar,PI_nov,decentr_enemin_30bldgs_jan,decentr_enemin_30bldgs_mar,decentr_enemin_30bldgs_nov
Total Consumption [kWh],148.8388126554856,22.59094088919795,75.8165165532502,104.83634103283333,8.637557168849998,41.73429089018334
Total Cost [pounds],0.0,0.0,0.0,0.0,0.0,0.0
Violation Ch,8.896694813143414,0.9780030148966196,1.8592834855396205,0.16719163305447182,1.005619583843469,0.022074330389979004
peak consumption [kW],80.27274336997394,12.615604436694415,54.472535352696774,80.81010926,5.460888006999999,32.66835449
peak consumption time,2017-01-07 17:05:00,2017-03-01 18:02:20,2017-11-20 17:01:20,2017-01-07 16:40:00,2017-03-01 18:55:00,2017-11-20 16:40:00
totcons_hc [kWh],106.04083681324784,17.05619315170034,52.537077619282904,61.28989780033333,6.774930190616666,25.33993040243333
totcons_lc [kWh],43.083384107614044,5.534747737497608,23.279438933967302,43.5464432325,1.8626269782333333,16.39436048775
