,PI_mor_jan,PI_mor_mar,PI_mor_nov,decentr_enemin_30bldgs_mor_jan,decentr_enemin_30bldgs_mor_mar,decentr_enemin_30bldgs_mor_nov
Total Consumption [kWh],153.53469393554698,153.79069305510794,121.05709415092075,116.08884412016663,92.84055887303333,60.228862677916666
Total Cost [pounds],8.686705765710737,8.59379287248526,6.697380842943208,6.723978906018334,5.203176461143334,3.4849881400516667
Violation Ch,7.425146417796162,9.716592357853283,6.152678485086004,0.915291443086474,3.9197827268593857,1.988981041926076
peak consumption [kW],82.6035816573167,87.74495468582691,77.7448737279962,87.60032544999997,88.75272932000001,50.838345063999995
peak consumption time,2017-01-07 07:05:00,2017-03-01 07:05:00,2017-11-20 07:01:50,2017-01-07 06:40:00,2017-03-01 06:40:00,2017-11-20 06:40:00
totcons_hc [kWh],112.24356459744,108.73684582790263,83.1429518710595,66.40725297333334,46.91152219386668,35.17144172608332
totcons_lc [kWh],41.91466515489702,45.54615154100159,37.97539227989182,49.681591146833334,45.92903667916667,25.057420951833326
