,10bldgs_centr_dyn_fin_jan,10bldgs_centr_dyn_fin_mar,10bldgs_centr_dyn_fin_nov,10bldgs_centr_nodyn_fin_jan,10bldgs_centr_nodyn_fin_mar,10bldgs_centr_nodyn_fin_nov,10bldgs_decentr_dyn_fin_jan,10bldgs_decentr_dyn_fin_mar,10bldgs_decentr_dyn_fin_nov,10bldgs_decentr_nodyn_fin_jan,10bldgs_decentr_nodyn_fin_mar,10bldgs_decentr_nodyn_fin_nov,PIcons_jan,PIcons_mar,PIcons_nov,minene_decentr_jan,minene_decentr_mar,minene_decentr_nov
Case Cost [pounds],1.786123108428127,0.04218857870775515,0.6597141544789187,1.3683027049777272,0.06623002683430829,0.2557972542489537,1.759573867503222,0.04651611838078507,0.5521935123014056,1.4562439008301158,-0.016094893335914268,0.23143992115297435,,,,,,
PI-diff [kWh],-4.473280075248888,0.07534568169892468,-1.681603427752665,-4.385397643526751,0.1316784495142662,-1.5592032222380228,-4.3206514227442785,-0.021264637917044103,-1.9668494485279593,-4.527329521499047,0.024540572474908644,-1.5799295032081704,,,,,,
PI-diff-mean [W],-4620.531527181061,44.32420738743324,-1581.0052232757296,-4634.975281109323,67.09524431618856,-1476.230376337911,-4498.551314562624,-19.26972327139914,-1999.3321384519509,-4495.383564973976,2.4796378231214233,-1585.467450933121,,,,,,
Total Consumption [kWh],24.7490531521634,1.605123748759371,11.368907080133646,23.33965886929649,1.0601728480849666,9.34901224567316,24.855684734615412,1.4527060107094738,11.561887947712576,23.58931700884183,0.6656054382433341,9.403476767337631,,,,,,
Violation Ch,0.33582492584272927,2.229114769526357,0.16015656868049177,0.3052920973943145,2.205772081462352,0.057043040994637785,0.421333595917479,2.2052091396315396,0.21406978719564052,0.4962012608801226,2.1800741342444496,0.08904048586705451,,,,,,
dr-diff [kWh],2.055154053939962,-0.21746370886156616,0.8337155917856583,-0.33595402205061575,0.10389422420473482,-1.6756925939363465,1.78982350005057,0.03527090963188979,0.1257295422096706,-0.6076499719087031,-0.37015105616455235,-2.0964189368329484,,,,,,
dr-diff-mean [W],1897.0652805599652,-200.7357312568303,769.5836231867615,-310.1114049697992,95.9023608043706,-1546.7931636335509,1652.144769277449,32.55776273712903,116.05803896277286,-560.9076663772644,-341.67789799804837,-1935.1559416919526,,,,,,
dr-diff-wols [kWh],0.7282621470881552,-1.4126875108358954,0.0047479262827570595,-2.335954022050616,-0.8486923647954451,-3.6756925939363465,1.0344073549654758,0.0175415924855361,-0.28049823237572347,-2.6076499719087027,-0.7428072471818241,-3.6964188718680124,,,,,,
dr-diff-wols-mean [W],672.241981927528,-1304.0192407715958,4.382701184083439,-2156.265251123645,-783.4083367342571,-3392.947009787397,954.83755842967,16.19223921741794,-258.9214452698986,-2407.0615125311106,-685.6682281678376,-3412.078958647396,,,,,,
elec_costs,1.5199057651279413,0.06582874632072487,0.5072041224302116,1.4486359786102572,0.05000647854141391,0.4576885861200135,1.539301963274449,0.04294017191976287,0.5267121813212743,1.5324437549186731,0.03343996458825193,0.5102217221843567,,,,,,
enemin-diff [kWh],-1.8158852942823045,-0.03945392382953767,-0.9721069718018075,-1.7280028625601669,0.016878843985803832,-0.8497067662871651,-1.6632566417776948,-0.13606424344550647,-1.2573529925771023,-1.8699347405324642,-0.09025903305355375,-0.8704330472573119,,,,,,
enemin-diff-mean [W],-1951.6723817191078,-64.71440002296448,-896.6604104989783,-1966.1161356473688,-41.94336309420915,-791.88556356116,-1829.6921691006685,-128.30833068179686,-1314.9873256751996,-1826.5244195120224,-106.55896958727628,-901.1226381563699,,,,,,
flex_costs,0.26621734330018576,-0.02364016761296972,0.1525100320487071,-0.08033327363252996,0.016223548292894373,-0.20189133187105981,0.22027190422877305,0.0035759464610222035,0.025481330980131316,-0.07619985408855726,-0.0495348579241662,-0.27878180103138234,,,,,,
peak consumption [kW],25.378805150252518,2.916038463708255,23.861054599243598,20.66212843222112,3.2510611154306224,15.782857838526478,25.44236008493958,3.000070509521359,23.861054183998267,23.9647550172027,2.57164269987002,15.569777345020078,,,,,,
peak time,2017-01-07 17:00:00,2017-03-01 17:05:00,2017-11-20 16:55:00,2017-01-07 17:20:00,2017-03-01 17:20:00,2017-11-20 17:15:00,2017-01-07 17:00:00,2017-03-01 17:10:00,2017-11-20 16:55:00,2017-01-07 17:15:00,2017-03-01 17:20:00,2017-11-20 17:15:00,,,,,,
totcons_hc [kWh],10.510210175243857,0.36823548167484643,3.600229344062728,10.694209456611052,0.4141436775115971,3.8685238839108,10.779398380761446,0.1342720668167715,3.2354076068710778,10.850018801880502,0.18654459275381247,3.7563491365044865,15.348611732646317,0.19336351076816602,5.112300832105916,12.869005444580173,0.3191610481670198,4.837649643803107
totcons_lc [kWh],13.350114597541534,1.1938637433146355,7.64603789438789,11.860231878165994,0.6306968844300594,5.354907834260649,13.181256883129022,1.3018606821834393,8.059861607054806,11.757414134066519,0.4517380445938847,5.407084416624501,6.085910231952392,0.0,1.905885299584096,8.01094791148456,0.0035830421987878384,2.810953921871777
