,10bldgs_decentr_enemin_jan,10bldgs_decentr_enemin_mar,10bldgs_decentr_enemin_nov,PI_jan,PI_mar,PI_nov
Total Consumption [kWh],20.87995335606474,0.32274409036580753,7.6486035656748825,21.434521964598712,0.19361458404470572,7.019960442331902
Total Cost [pounds],1.4578777345474683,0.030897173264571115,0.5861866622124002,1.4298695702588409,0.029411873099024342,0.4433441271203962
Violation Ch,0.5280152608289418,2.2257085358007678,0.10226622949861526,8.140743192314499,2.524693333800893,2.8044511083799413
peak consumption [kW],17.84564526932385,0.533004950140119,9.437563258465008,12.633324932014652,0.362424379119846,4.672528977572689
peak consumption time,2017-01-07 16:55:00,2017-03-01 18:50:00,2017-11-20 16:50:00,2017-01-07 17:32:10,2017-03-01 18:49:30,2017-11-20 17:01:50
totcons_hc [kWh],12.869005444580173,0.3191610481670198,4.837649643803107,15.348611732646317,0.19361458404470572,5.110983119995126
totcons_lc [kWh],8.01094791148456,0.0035830421987878384,2.810953921871777,6.085910231952392,0.0,1.9089773223367756
